GEO,liver,PTK7,COL9A3,FGF19,LAMC1,BCL2L14,TMEM189.....TMEM189.UBE2V1.....UBE2V1,SAGE1,TF,LINC00176,UBXN7,ANAPC1.....LOC101930107.....LOC285074.....LOC730268,MSANTD3-TMEFF1///TMEFF1,KIF6,PRAME,RNF182,CTAG2
GSM1523727,0,1.733180881,1.346666932,1.100951314,2.672805071,1.409378171,2.224939585,0.898795784,1.087943435,1.161200643,1.912985802,1.409378171,1.480968833,1.026133895,1.395995021,0.96780026,1.409378171
GSM1523728,0,1.859174252,1.425951123,1.118595243,2.956720829,2.511767864,2.267482758,0.887996972,0.977594316,1.138424993,1.926665545,1.899666071,1.631508827,1.026991487,1.834584594,0.982190132,1.275055289
GSM1523729,0,1.841294885,1.506512523,1.050224423,2.893748999,2.60642767,2.246242523,0.874879837,0.99816674,1.133671999,1.851635456,1.815659642,1.615054607,0.965722322,1.251731515,0.965527534,1.068660378
GSM1523744,0,1.902994752,1.174742818,1.113137245,2.76668334,2.351166725,2.240063429,0.980257809,1.028003573,1.144099951,2.029253244,1.862490654,1.353283048,0.905190587,1.35629189,0.947262824,1.185866475
GSM1523745,0,1.918933153,2.685662508,1.117697239,3.057646036,2.174627781,2.439034462,0.960474074,0.913271129,1.232214451,1.791711926,2.023784399,2.360936165,0.932919681,1.231568575,0.98014617,1.065631151
GSM1523746,1,2.197745562,2.990611315,1.097598076,3.314831018,2.382820368,2.187186956,0.917580962,1.64985621,1.177416205,2.134458542,2.09180665,2.051046371,1.093872547,2.3347826,1.617353201,2.872859955
GSM1523747,1,2.174994707,2.767163515,1.07137382,3.18264246,2.094419003,2.719130278,1.61765933,1.985555291,1.386563063,2.247294426,2.35963273,1.772167802,1.441398382,1.773608208,2.028010607,1.268152356
GSM1523748,0,1.877833247,1.565707922,1.021115065,2.782300472,2.669349194,2.14712286,0.893466651,1.039355397,1.187835455,1.871748209,1.920796514,1.491690636,0.971301854,1.191759467,0.930824161,1.092919827
GSM1523765,0,1.936457992,1.941722035,1.113528967,2.87633729,2.316804647,2.321853399,0.869740367,1.06460619,1.351473331,2.235745907,2.043348312,1.569843769,0.997347891,1.405852556,0.917219996,1.298170447
GSM1523768,0,2.198607445,2.061202049,1.075516939,3.142885685,2.387459993,2.47317934,0.905507863,0.895809293,1.136466503,1.876266122,2.061454058,1.91135776,1.001887083,1.261824727,1.13988924,1.15253067
GSM1523769,0,1.882851362,1.983700752,0.97169596,3.053202629,2.611549139,2.290789604,0.932967782,1.020121455,1.122402072,1.860296726,1.960254431,1.687124372,0.95589304,1.193368077,0.962966621,1.113357306
GSM1523770,0,1.772839665,1.277446985,1.002981305,2.654669046,2.463754654,2.261185884,0.814895093,1.033446431,1.165013194,2.182374477,2.053005934,1.899479747,1.047808647,1.920347333,1.09709096,1.232862353
GSM1523771,0,1.875205636,1.441890597,0.975659311,3.245882988,2.061634302,2.289972782,0.844085693,1.109139919,1.134379506,1.908990383,2.052707911,2.21873641,0.932862997,1.192783475,1.111659765,1.18426764
GSM1523772,0,1.784100533,1.523497701,1.118878603,3.247394323,2.420609951,2.184675932,0.8847633,1.093919158,1.176784635,1.760414362,1.861845255,1.726926208,0.965406477,1.202813506,0.930805504,1.123889446
GSM1523773,0,1.901299119,1.501229167,1.07959199,3.280465603,1.869860768,2.285181284,0.901486397,1.148316026,1.039872885,1.864770651,1.991971254,1.839073539,0.896703959,1.282027125,1.019940257,1.141910315
GSM1523774,0,1.781298876,1.682727337,1.048926711,3.177621365,2.486600161,2.254137754,0.827746093,1.020469069,1.117205381,1.779830456,1.85894537,1.823124051,0.952994466,1.296040416,0.874686241,1.071999431
GSM1523775,0,1.825721979,1.773366809,1.022346973,2.710091591,2.417942286,2.455402851,0.87463814,0.980815351,1.109721422,1.968193173,2.125269413,1.97902,0.882221937,1.806228161,1.602292418,2.757670641
GSM1523776,0,2.051318645,1.325300574,1.03859508,2.637327194,2.403578281,2.159201622,0.876856685,1.00436306,1.273741245,1.82165134,2.134734392,1.682389855,0.952408612,1.235688925,0.884005904,1.257959485
GSM1523777,0,2.351499081,1.452216029,1.230747938,2.860877037,2.645560503,2.326763868,0.813782513,0.95737052,1.198508143,2.049316406,2.150359631,1.58696425,0.990125299,1.394838452,2.105293036,1.214458942
GSM1523778,0,2.057099581,1.80320847,1.060034394,3.09930253,2.470553875,2.332345486,0.831046283,1.03812778,1.201047659,1.769620419,2.007414579,1.759777784,0.895792425,1.575202107,0.976145089,1.072689652
GSM1523779,0,1.686594605,1.578205705,1.037250042,2.678577423,2.676150084,2.233369112,0.866582572,0.980508566,1.132357717,2.081075191,1.794317961,1.525003433,0.964242756,1.32376492,0.985277772,1.051939726
GSM1523780,1,2.255136967,1.188894153,1.071144819,2.936686039,2.422945023,2.339718103,0.915431917,1.057215214,1.237944245,1.870084405,2.076916456,1.902675152,0.876690269,1.528501153,0.944285035,1.096984625
GSM1523781,0,2.096379519,1.573256254,1.155349493,3.219913006,2.062452078,2.44351387,0.914803982,2.687250376,1.114923358,1.985497594,2.296935797,1.547746539,0.963533223,1.461118698,1.937645435,1.779689431
GSM1523782,0,2.24555397,2.186971426,1.093611836,3.088799477,2.085080147,2.415088177,0.952213526,0.923402011,1.143193007,1.929299831,2.082167387,1.61032021,0.923518479,1.441142321,1.063697338,1.097745657
GSM1523783,0,1.8082968,1.720611811,1.10593307,2.803513765,2.657809496,2.20314312,0.915884674,1.043842912,1.202236414,1.647870779,1.793574691,1.33811295,0.852326095,1.202556133,1.078460693,1.126590014
GSM1523784,0,2.056585073,1.582551956,1.025785923,3.013653278,2.752275229,2.225309134,0.863018632,1.026804924,1.269697309,1.762563467,1.967787623,1.472574949,0.969331682,1.303343773,0.926205158,1.086303115
GSM1523785,0,1.92547965,1.651731491,1.087620735,2.792620897,2.515194416,2.290275812,0.892483532,0.915313601,1.165922046,1.737863064,1.785326481,1.639761209,0.895617545,1.191213965,0.940830112,1.204020619
GSM1523786,0,1.768681526,1.743957996,1.079916477,2.88170433,2.682221651,2.194604874,0.903780878,0.926114917,1.291498423,1.781760693,1.862540841,1.557612777,0.907569587,1.228263497,0.979936361,1.123081207
GSM1523787,0,2.543709993,2.882194757,1.043187857,2.943781853,2.472553253,2.818389654,0.874602914,1.009088039,1.12166059,2.03461957,2.021269083,1.506505132,0.959900081,1.650746822,1.036789179,1.075352907
GSM1523788,0,2.219346285,1.825274587,1.034344435,3.271575928,2.178617716,2.274887085,0.816212475,1.520515442,1.164362311,1.843697071,1.931134582,2.025788069,0.910299063,1.364833951,1.2240659,1.5355618
GSM1523789,0,1.981053352,1.557602286,1.046850801,3.207260847,2.647106409,2.432351351,0.85535264,0.969251275,1.116412759,1.947084188,2.128974199,1.840920925,0.922836661,1.228715658,1.076679587,1.103615403
GSM1523790,1,2.15466094,1.562735319,1.024408102,3.113544226,2.61665988,2.295706511,0.899739504,1.077579618,1.283062696,2.054267645,2.126461983,1.948233843,0.905789316,1.775871038,1.063613296,1.080412984
GSM1523791,0,1.873237729,1.424955368,1.070905805,2.909275293,2.707012892,2.283919334,0.868303239,1.04495573,1.123658538,1.937565327,2.047683716,1.637157083,0.895072341,1.314528108,1.05028367,1.087065935
GSM1523792,0,2.113052607,1.648754239,1.081463814,2.724991798,2.683625221,2.324008226,0.831767559,0.998414397,1.050153375,2.107805014,2.110126257,1.767040014,0.992550075,1.518205523,1.825098276,1.146013618
GSM1523793,0,1.947055697,2.013179064,1.043906093,2.918066502,2.166537285,2.424448252,0.825919688,0.987623692,1.200416088,2.028245687,1.860434055,2.315239191,0.958295822,1.363168597,2.558693409,2.562510967
GSM1523794,1,1.978848696,2.025313139,1.082327843,3.178057909,1.772477269,2.438185692,2.114735365,1.019826651,1.132023573,2.28809309,2.06315279,2.128825426,0.989460289,2.204502583,0.98122716,2.551794052
GSM1523795,0,2.031130075,2.623351097,1.136747003,3.015462637,1.770897746,2.519356251,0.861659825,1.105357766,1.138494015,1.644630432,2.22203207,1.681019545,0.947090924,1.476744771,1.657207489,1.865723491
GSM1523796,0,2.413079023,1.650105596,1.101016521,3.4103508,2.099191904,2.295505047,0.803766072,1.193226337,1.255377173,1.883587122,2.089036226,2.05422473,0.960614145,1.162129283,1.307682395,1.103135228
GSM1523797,0,1.890971065,1.69457829,1.069703698,2.903036356,2.528939486,2.360892057,1.03411305,1.016428351,1.180011153,2.178891897,2.061226845,1.952150226,1.645204425,1.898947477,0.956477046,1.052741885
GSM1523798,0,1.7390064,1.768880486,1.041553497,2.874815941,2.391139984,2.18015337,0.772254467,0.996372581,1.175546527,1.975081563,2.059958458,1.61537838,0.82179749,1.217497706,0.956523776,1.005463004
GSM1523799,0,2.169763088,2.258070946,0.990830898,3.050448418,2.154130459,2.545429468,0.862849176,2.649903059,1.249433756,2.303579092,2.159411192,1.592578411,0.8681615,1.286255717,1.135727763,1.07034111
GSM1523800,0,1.89717865,1.160350204,1.094816208,2.981467247,2.573580027,2.412536383,0.864916682,0.986621618,1.147555232,1.978067875,2.508810282,1.544792295,0.968323469,1.393741488,0.922602117,1.074509978
GSM1523801,0,1.885733843,1.497941852,1.113332987,2.680842161,2.527538538,2.371764421,0.837669849,1.053058028,1.259536386,1.701228023,2.098013878,1.282811642,0.913971901,1.345101595,1.831257582,1.049771667
GSM1523802,0,1.96191299,1.833264589,1.160221696,2.758617878,2.643069029,2.379570723,0.873653173,1.051249743,1.149526715,1.966249466,1.979265571,1.698183656,0.943346441,1.947285295,0.982043207,1.753215551
GSM1523803,0,2.175232172,1.632384896,1.217537761,3.021504402,2.585718632,2.570085287,0.923322856,1.355918527,1.207757592,2.344378948,1.871007681,1.731669068,0.912154913,1.646535993,0.931780577,1.336330652
GSM1523804,0,1.900853872,1.660893202,1.068056583,3.011163712,2.672394514,2.228403091,1.05200088,1.060214996,1.199205399,1.78683877,1.860006213,1.657417297,0.913045347,1.28854084,1.012947559,1.060783625
GSM1523805,0,2.179653645,1.389893413,0.983956516,3.104350805,2.386242867,2.200709343,0.886940598,0.965679526,1.220325589,1.914534926,2.025409698,1.45780158,0.957184494,1.717297316,0.959474981,1.129320979
GSM1523806,1,2.056336641,2.676475763,2.395804405,2.865457058,2.547972441,2.528702259,0.837293267,1.087777257,1.160684109,2.037910938,2.13873744,1.715497136,0.923990846,1.277043104,0.995717824,1.159373045
GSM1523807,0,1.862499118,1.778618217,1.074854732,3.110151768,2.442535162,2.260609388,0.985847652,1.013794661,1.072482824,1.915643692,2.11823225,2.069720984,0.973557174,1.731260538,1.148401976,1.150978208
GSM1523808,0,1.978020906,1.58934474,1.030219793,3.024701357,2.459164858,2.230748415,0.852943778,0.983896971,1.086497307,1.887540579,1.938922763,1.729220748,0.913009286,1.297476888,0.9161731,1.064494133
GSM1523809,0,1.903369069,1.769013882,1.022069335,2.842956066,2.638024092,2.344391108,0.908467591,1.018095493,1.126892567,2.117971182,1.907230854,1.881249905,0.885692894,1.804331541,0.918077648,1.219983935
GSM1523810,0,2.179641008,1.488674641,1.183114409,2.926520586,2.466082335,2.336529255,0.859273255,1.076509476,1.172468185,1.840977788,1.973421931,1.658361554,0.924263835,1.330265045,0.998046577,1.170669198
GSM1523811,0,1.75712502,1.547572374,1.075030208,2.787571192,2.744966984,2.28319788,0.898441792,1.005493164,1.196301699,1.843088031,1.884055018,1.604242444,0.887851238,1.263604522,0.993763208,1.235356331
GSM1523812,0,2.071377039,1.600843787,1.032240868,3.077574253,2.496576071,2.261027336,1.000989795,0.971859634,1.238240242,1.957390308,2.017710447,1.660275221,0.859918356,1.159158468,0.859090567,1.110368371
GSM1523813,0,1.844403028,1.538557768,1.061139703,3.113604546,2.354610205,2.344508886,0.815167844,0.954354167,1.108716369,1.729862809,2.094960451,1.829699397,0.984888256,1.150587201,0.984720647,1.083459616
GSM1523814,0,2.259970665,2.431542635,1.089661717,3.149929523,1.720986366,2.447470427,0.923435092,0.898470342,1.223691702,1.986679673,1.973744631,1.561293006,0.911689162,1.990678906,1.41716671,1.104528069
GSM1523815,0,2.30973196,1.811500072,1.045083404,2.835967064,2.165291309,2.332650661,0.883563042,0.989626467,1.171133757,2.219103098,2.147321224,1.789951086,0.990301967,1.217001915,1.000865459,1.130541325
GSM1523816,0,2.312214136,2.284285784,1.079084516,2.820654869,2.391624689,2.531611681,0.868281901,0.941017926,1.183214068,1.884382367,1.843525767,1.708142877,1.000808835,1.355452895,1.032950163,1.255861998
GSM1523817,1,3.00262785,2.119918108,1.107281923,2.96562624,1.235899925,2.351753235,0.840889931,1.043779373,1.184950709,2.34211421,2.052092552,2.63322711,1.354179502,2.336926937,1.805280805,1.251624823
GSM1523818,0,1.611983538,1.557376862,1.064796448,2.840229034,2.628177166,2.117092133,0.93587333,0.990833938,1.19692564,1.802655816,1.728619576,1.281790614,1.014149308,1.635604382,0.942619741,1.160176277
GSM1523819,0,1.980769277,2.274926186,1.080321074,3.016335726,2.282479525,2.557016134,0.876894355,1.12537992,1.082952142,1.937568665,2.069964647,1.883107543,1.144900441,1.577840209,0.985950291,1.209926009
GSM1523820,0,2.305928707,1.795603871,1.106058002,2.988656282,2.362008333,2.722347736,0.857331634,1.915407419,1.279005766,1.726509929,2.124808311,1.717624426,0.910020292,2.141201019,1.346862793,1.185407996
GSM1523821,0,1.846015215,1.760976315,1.055108666,2.617162943,2.735819578,2.274233103,0.808553636,1.002227902,1.157215595,1.844848514,2.057409763,1.380408049,0.955286801,1.289323807,0.988395214,1.140935659
GSM1523822,0,2.003409147,1.735675454,0.969616771,3.002657652,2.754532337,2.270751476,0.835431397,0.875350356,1.156090617,1.939912558,2.034292698,1.737624645,0.915670991,1.714363694,0.957651079,1.066250682
GSM1523823,0,1.792593241,1.533203006,1.039014101,2.812364578,2.2916224,2.241744757,0.824655414,1.021617532,1.102695704,1.852673173,2.00623703,2.019640207,0.876575589,1.415969849,1.021674752,1.193879485
GSM1523824,0,2.301906109,1.893606901,1.155872703,2.863014698,2.576063395,2.440286398,0.846000552,1.086257458,1.183334231,1.922608733,1.835832357,1.488805294,0.905186355,1.25514555,2.01013875,1.177699566
GSM1523825,0,2.224958658,1.717206001,1.106942058,2.715531588,1.479679585,2.567007303,0.884312332,1.047138572,1.15561831,2.616154432,2.165640831,2.086248875,0.943381369,2.213855743,1.598921418,1.081001163
GSM1523826,0,2.068710089,2.626478672,1.147737026,3.05885911,2.463159323,2.300667286,0.897288859,1.560418725,1.526150465,1.917558074,2.138566732,1.638733268,0.936974823,1.31481266,2.005378485,1.224320889
GSM1523827,0,1.879684567,1.823070168,1.04180491,2.901643991,2.555527449,2.186644793,0.849642098,1.056392789,1.328997493,1.931824803,1.979830384,1.771032095,0.958018601,1.214064837,0.941590548,1.227494121
GSM1523828,0,2.172717094,2.258627892,1.056561708,3.195358038,1.801723599,2.493121862,0.840984166,1.264645338,1.118898988,2.114103317,2.013755083,1.980270743,0.868811071,1.121099472,1.167255282,1.232284427
GSM1523829,0,2.136788607,2.340905905,1.199257731,3.04319644,2.377562523,2.64185071,1.38599205,3.626926899,1.143470287,2.264019251,2.196705341,2.042963982,0.991381466,2.2531569,2.098492146,1.811532497
GSM1523830,1,1.722409368,1.614333868,1.089377284,2.691017151,2.338585854,2.340967178,0.855527222,1.044731855,1.242110372,1.871701837,2.024607897,1.422582865,0.884621501,1.519592166,0.989469051,1.198846221
GSM1523831,1,2.760001183,3.36362505,1.980272532,3.240509748,1.912360787,2.534954548,0.79297477,2.239942551,2.685652971,2.244744539,2.122797012,1.704697251,1.11603868,1.946962357,3.133604765,1.16422534
GSM1523832,1,2.515478134,1.881355643,1.082307935,3.07617116,2.234752417,2.516977072,1.7046808,1.089254379,1.26432085,2.342376947,2.172677994,1.868354797,1.780041218,1.851606965,1.697161078,2.383228302
GSM1523833,0,1.714326382,1.521939993,1.092882156,2.939562321,2.646273851,2.330230713,0.892438054,0.963584363,1.240028977,1.863203168,1.906888366,1.606443644,0.936091304,1.462024093,0.90584743,1.063191652
GSM1523834,0,2.025476217,1.739865184,1.040727854,2.923387766,2.619718552,2.201620102,0.879572332,1.030130982,1.089112997,1.869072556,2.005928755,1.744214177,1.010428309,1.162131667,1.007399559,1.053803086
GSM1523835,0,2.51040554,2.680112123,1.106071234,3.299854517,1.766310334,2.601298332,1.303403616,2.478837729,1.102985978,2.141233683,1.621544957,2.487447739,0.995951176,2.610489845,2.28020215,2.617381096
GSM1523836,0,1.922603726,1.400598049,1.06904757,2.810865164,2.581028223,2.219191551,0.787546277,0.959296763,1.238834143,2.062329769,1.728749394,1.858113766,0.950279713,1.198586106,0.963550091,1.102290273
GSM1523837,0,2.1159935,2.059643269,1.108436465,2.756528616,2.599244118,2.522187233,0.829581201,1.098371148,1.125700116,1.894655466,2.280400515,1.867132425,0.967775285,1.782574415,2.287392616,1.086903691
GSM1523838,0,1.864356637,1.721616507,1.027331352,2.85239315,2.367124081,2.224620104,0.837060511,0.953908682,1.174490809,1.932305217,1.915706754,1.711016893,0.954581201,1.712922096,1.184318542,1.137418389
GSM1523839,0,2.043297529,1.72939527,1.082559586,3.103592157,2.38165617,2.380461693,0.842925251,0.927878857,1.16040659,2.037843943,1.872056842,1.978659153,0.924679816,1.514887691,1.055176377,1.034172893
GSM1523840,1,2.537467003,3.159960032,1.443929195,3.263315678,2.201864243,2.507983446,0.894611418,2.125502825,1.857756615,2.171978951,1.880862117,2.951443911,1.577748537,2.650023699,2.728057861,1.058869362
GSM1523841,1,1.93404603,1.493596435,1.083041787,2.992846012,2.546386242,2.293792725,0.889596641,0.973702312,1.142657518,1.875693798,2.016245604,1.737075567,0.88399148,1.196639419,0.897379756,1.135461926
GSM1523842,0,1.991994858,2.18258214,1.196273923,3.118938684,2.475831747,2.315877199,1.113843799,2.685481071,1.136699557,2.271069288,2.128960371,1.829027891,0.887383997,1.997907877,2.470199823,2.248147488
GSM1523843,0,2.108808517,1.880902767,1.050794244,2.999357462,2.589740515,2.402983665,0.940490603,1.029086351,1.14990294,1.831993937,1.898895979,1.587672353,0.97774905,1.421496153,0.969585061,1.086327195
GSM1523844,0,2.585841894,2.364423275,1.053598642,3.207324028,2.175578356,2.483980656,1.719688296,1.389957905,1.188146114,1.98301816,2.12749505,2.002775431,1.041643858,2.409166574,1.109900355,2.177386284
GSM1523845,0,2.267212152,1.998717308,1.013948798,3.06806159,1.877263427,2.692307234,0.88252002,1.709229946,1.262621522,1.915596485,2.066030741,1.929745674,1.067158937,2.801155329,1.151444316,1.973130584
GSM1523846,0,2.070872784,1.458048463,1.036554694,3.069843531,2.527863503,2.187744617,0.826002836,0.984331667,1.250088811,1.928029418,2.041389227,1.690021276,0.984257638,1.240428686,0.914459586,1.107078671
GSM1523847,0,1.694298267,1.307102919,1.10976243,2.782665491,2.790058136,2.235118866,0.938579321,1.035294533,1.162831903,1.990087986,1.853240609,1.802704573,1.00916636,1.229084969,0.972317874,1.169372439
GSM1523848,0,1.848782659,1.820367575,1.08204031,2.99057889,2.180602312,2.304968834,0.849367559,0.973428071,1.257009387,2.001765013,2.114985466,1.670854926,0.930972576,1.212830544,0.976961851,1.198465705
GSM1523849,1,2.239418745,1.617508531,1.042775393,3.221415281,1.866684914,2.345072269,1.444940686,2.281557083,1.121082306,2.350476265,2.128525972,2.267156839,1.092329144,1.997071028,2.171972275,2.240133524
GSM1523850,0,1.709720969,1.717998028,1.042105913,3.229281187,2.441486597,2.27417779,0.841805398,1.044913888,1.266996145,1.958700061,1.986642957,1.890452385,0.857118189,1.239081621,0.93966186,1.073555112
GSM1523851,0,1.70383513,1.518879414,1.125334978,2.667527914,2.55244422,2.301210165,0.883855939,1.009882808,1.287238836,1.841115475,1.904203653,1.680758119,1.020107269,1.843556523,0.973571062,1.189568162
GSM1523852,0,1.689882159,1.560985684,1.058556676,2.744133472,2.76572752,2.261560917,0.88623625,1.084725142,1.447701097,1.746235847,1.879792929,1.630625844,1.020756006,1.484840751,0.9406811,1.160968781
GSM1523853,0,1.94993329,1.414427638,1.084536672,2.865367651,2.718855619,2.226384878,1.349825501,1.07648325,1.170411468,1.984539866,2.127538681,2.31626606,1.066767812,1.895640373,1.937754154,1.165895224
GSM1523854,0,2.016020775,2.210245848,1.142892599,3.040336847,2.614613771,2.342442989,1.829918027,0.9823066,1.28923893,2.0810709,2.071352243,2.034391165,0.974458516,1.989564776,1.507975221,1.977421761
GSM1523855,1,2.403718472,3.147075891,1.521188498,2.799844265,2.316105127,2.559722424,0.897113025,0.983996332,1.344990253,2.059630632,2.191700935,1.632036209,0.948759556,1.644291401,2.275425673,1.215399265
GSM1523856,0,2.169573545,1.655073762,1.065429091,2.809210062,1.301857471,2.436730862,0.911831558,1.236487389,1.22580564,2.058120489,2.216178417,1.872027278,0.953613341,1.554581523,0.938576579,1.204002619
GSM1523857,1,2.137930632,1.867293,1.091687083,3.172455549,2.095493078,2.396765232,0.867208123,1.071649075,1.208757162,2.044580221,2.148477793,2.442182064,0.979842424,1.58330369,1.162599206,1.142513037
